date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:58:25	290226/290226	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202019%2006:58:24%20GMT	https://trashme3.wixsite.com/monsite	trashme3.wixsite.com/monsite.html	(from )
08:58:26	445/445	---M--	200	added ('OK')	text/plain	date:Wed,%2010%20Jul%202019%2006:58:25%20GMT	https://trashme3.wixsite.com/robots.txt		(from )
08:58:26	2933/2933	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jul%202019%2006:58:26%20GMT	https://trashme3.wixsite.com/sitemap.xml	trashme3.wixsite.com/sitemap.xml	(from https://trashme3.wixsite.com/monsite)
08:58:27	2933/2933	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jul%202019%2006:58:27%20GMT	https://trashme3.wixsite.com/feed.xml	trashme3.wixsite.com/feed.xml	(from https://trashme3.wixsite.com/monsite)
08:58:29	106801/106801	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202019%2006:58:28%20GMT	https://trashme3.wixsite.com/monsite/programme	trashme3.wixsite.com/monsite/programme.html	(from https://trashme3.wixsite.com/monsite)
08:58:30	106819/106819	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202019%2006:58:29%20GMT	https://trashme3.wixsite.com/monsite/prestations	trashme3.wixsite.com/monsite/prestations.html	(from https://trashme3.wixsite.com/monsite)
08:58:31	106795/106795	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202019%2006:58:30%20GMT	https://trashme3.wixsite.com/monsite/pour-qui	trashme3.wixsite.com/monsite/pour-qui.html	(from https://trashme3.wixsite.com/monsite)
08:58:32	106764/106764	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202019%2006:58:31%20GMT	https://trashme3.wixsite.com/monsite/tarif	trashme3.wixsite.com/monsite/tarif.html	(from https://trashme3.wixsite.com/monsite)
08:58:33	182040/182040	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202019%2006:58:32%20GMT	https://trashme3.wixsite.com/monsite/contact	trashme3.wixsite.com/monsite/contact.html	(from https://trashme3.wixsite.com/monsite)
08:58:33	2934/2934	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jul%202019%2006:58:33%20GMT	https://trashme3.wixsite.com/monsite/robots.txt	trashme3.wixsite.com/monsite/robots.txt	(from https://trashme3.wixsite.com/monsite/programme)
08:58:35	1289/1289	---MCZ	200	added ('OK')	text/xml	date:Wed,%2010%20Jul%202019%2006:57:53	https://trashme3.wixsite.com/monsite/sitemap.xml	trashme3.wixsite.com/monsite/sitemap.xml	(from https://trashme3.wixsite.com/monsite/programme)
08:58:35	2934/2934	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jul%202019%2006:58:35%20GMT	https://trashme3.wixsite.com/monsite/feed.xml	trashme3.wixsite.com/monsite/feed.xml	(from https://trashme3.wixsite.com/monsite/programme)
